	Element	Relevance	cycle	Pathway	pathway name	gene	gene_name	key_gene	energyRole	biogeoSubstrate	Metal	KO	References					Legenda	Legenda
187	Nitrogen	Biogeochemistry	Nitrogen	Anammox	Anammox, nitrite -> nitrate (nxrAB) - pathway 2	narG, narZ, nxrA	nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]	yes	D	Nitrite	Mo	K00370	https://www.uniprot.org/uniprotkb/P9WJQ3/entry						
188	Nitrogen	Biogeochemistry	Nitrogen	Anammox	Anammox, nitrite -> nitrate (nxrAB) - pathway 2	narH, narY, nxrB	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	yes	D	Nitrite	Fe	K00371	https://www.uniprot.org/uniprotkb/I3R9M8/entry						
189	Nitrogen	Biogeochemistry	Nitrogen	Anammox	Anammox, nitrite -> nitric oxide (nirK or nirS) - pathway 1,2	nirK	nitrite reductase (NO-forming) [EC:1.7.2.1]	yes	A	Nitrite	Cu	K00368							
190	Nitrogen	Biogeochemistry	Nitrogen	Anammox	Anammox, nitrite -> nitric oxide (nirK or nirS)  - pathway 1,2	nirS	nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1 1.7.99.1]	yes	A	Nitrite	Fe	K15864							
192	Nitrogen	Biogeochemistry	Nitrogen	Denitrification	Dissimilatory nitrate reduction, nitrate -> nitrite (narGHI or napAB)	narH, narY, nxrB	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	yes	A	Nitrate	Fe	K00371							
194	Nitrogen	Biogeochemistry	Nitrogen	Denitrification	Dissimilatory nitrate reduction, nitrate -> nitrite (narGHI or napAB)	napA	nitrate reductase (cytochrome) [EC:1.9.6.1]	yes	A	Nitrate	Mo, Fe	K02567	https://pubmed.ncbi.nlm.nih.gov/21419779/						
195	Nitrogen	Biogeochemistry	Nitrogen	Denitrification	Dissimilatory nitrate reduction, nitrate -> nitrite (narGHI or napAB)	napB	nitrate reductase (cytochrome), electron transfer subunit	yes	A	Nitrate	Fe	K02568	https://pubmed.ncbi.nlm.nih.gov/21419779/						
196	Nitrogen	Biogeochemistry	Nitrogen	Denitrification	Denitrification, nitric oxide -> nitrous oxide (norBC)	norC	nitric oxide reductase subunit C	yes	A	Nitric oxide	//	K02305							
197	Nitrogen	Biogeochemistry	Nitrogen	Denitrification	Denitrification, nitric oxide -> nitrous oxide (norBC)	norB	nitric oxide reductase subunit B [EC:1.7.2.5]	yes	A	Nitric oxide	Fe	K04561	https://www.ebi.ac.uk/interpro/entry/InterPro/IPR054309/						
198	Nitrogen	Biogeochemistry	Nitrogen	Denitrification	Dissimilatory nitrate reduction, nitrite -> ammonia (nirBD or nrfAH)	nirB	nitrite reductase (NADH) large subunit [EC:1.7.1.15]	yes	A	Nitrite	Fe	K00362							
199	Nitrogen	Biogeochemistry	Nitrogen	Denitrification	Dissimilatory nitrate reduction, nitrite -> ammonia (nirBD or nrfAH)	nirD	nitrite reductase (NADH) small subunit [EC:1.7.1.15]	yes	A	Nitrite	Fe	K00363							
200	Nitrogen	Biogeochemistry	Nitrogen	Denitrification	Denitrification, nitrite -> nitric oxide (nirK or nirS)	nirK	nitrite reductase (NO-forming) [EC:1.7.2.1]	yes	A	Nitrite	Cu	K00368							
201	Nitrogen	Biogeochemistry	Nitrogen	Denitrification	Dissimilatory nitrate reduction, nitrite -> ammonia (nirBD or nrfAH)	nrfA	nitrite reductase (cytochrome c-552) [EC:1.7.2.2]	yes	A	Nitrite	Fe	K03385							
202	Nitrogen	Biogeochemistry	Nitrogen	Denitrification	Nitrite reduction	nrfD	cytochrome c nitrite reductase, NrfD subunit [EC:1.7.2.2]	yes	A	Nitrite	//	K04015	anchor sub						
203	Nitrogen	Biogeochemistry	Nitrogen	Denitrification	Denitrification, nitrite -> nitric oxide (nirK or nirS)	nirS	nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1 1.7.99.1]	yes	A	Nitrite	Fe	K15864							
204	Nitrogen	Biogeochemistry	Nitrogen	Denitrification	Dissimilatory nitrate reduction, nitrite -> ammonia (nirBD or nrfAH)	nrfH	cytochrome c nitrite reductase small subunit	yes	A	Nitrite	Fe	K15876	https://pubmed.ncbi.nlm.nih.gov/12095623/						
205	Nitrogen	Biogeochemistry	Nitrogen	Denitrification	Nitrite reduction	NIT-6	nitrite reductase (NAD(P)H) [EC:1.7.1.4]	yes	A	Nitrite	NAD	K17877							
206	Nitrogen	Biogeochemistry	Nitrogen	Denitrification	Denitrification, nitrous oxide -> nitrogen (nosZ)	nosZ	nitrous-oxide reductase [EC:1.7.2.4]	yes	A	Nitrous oxide	Cu	K00376							
207	Nitrogen	Biogeochemistry	Nitrogen	Nitrification	Nitrification, ammonia -> hydroxylamine (amoABC)	pmoA-amoA	methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]	yes	D	Ammonia/Methane	Cu	K10944							
208	Nitrogen	Biogeochemistry	Nitrogen	Nitrification	Nitrification, ammonia -> hydroxylamine (amoABC)	pmoB-amoB	methane/ammonia monooxygenase subunit B	yes	D	Ammonia/Methane	Cu	K10945							
209	Nitrogen	Biogeochemistry	Nitrogen	Nitrification	Nitrification, ammonia -> hydroxylamine (amoABC)	pmoC-amoC	methane/ammonia monooxygenase subunit C	yes	D	Ammonia/Methane	Cu	K10946							
210	Nitrogen	Biogeochemistry	Nitrogen	Nitrification	Nitrification, hydroxylamine -> nitrite (hao)	hao	hydroxylamine dehydrogenase [EC:1.7.2.6]	yes	D	Hydroxylamine	Fe	K10535							
